8.7.1.4,11,手直しした製品の処置に関する文書化した情報を保持する際、どのような情報を含める必要がありますか？,選択肢a：量、処置、処置日及び該当するトレーサビリティ情報,選択肢b：処置、処置日及び該当するトレーサビリティ情報,選択肢c：量、処置及び該当するトレーサビリティ情報,a,要求事項の適合した例：手直しした製品の処置に関する文書化した情報を保持し、量、処置、処置日及び該当するトレーサビリティ情報を含める。適合していない例：処置日や該当するトレーサビリティ情報を含めずに、手直しした製品の処置に関する文書化した情報を保持する。箇条要求事項の概要詳細解説：組織は、量、処置、処置日及び該当するトレーサビリティ情報を含めて、手直しした製品の処置に関する文書化した情報を保持しなければならない。
8.7.1.4,12,製品を修理する判断の前に、どのような方法論を活用して修理工程におけるリスクを評価する必要がありますか？,選択肢a：リスク分析（FMEAのような）,選択肢b：リスク管理計画,選択肢c：品質管理手法,a,要求事項の適合した例：製品を修理する判断の前に、FMEAのようなリスク分析方法論を活用して修理工程におけるリスクを評価する。適合していない例：リスク管理計画や品質管理手法のみに基づいて修理工程におけるリスクを評価する。箇条要求事項の概要詳細解説：組織は、製品を修理する判断の前に、修理工程におけるリスクを評価するために、リスク分析（FMEAのような）の方法論を活用しなければならない。
8.7.1.4,13,製品の修理を開始する前に、どのような承認を取得しなければならないでしょうか？,選択肢a：顧客からの承認,選択肢b：内部監査チームからの承認,選択肢c：製品開発チームからの承認,a,要求事項の適合した例：製品の修理を開始する前に、顧客から承認を取得する。適合していない例：内部監査チームや製品開発チームからの承認を取得して、製品の修理を開始する。箇条要求事項の概要詳細解説：組織は、製品の修理を開始する前に、顧客から承認を取得しなければならない。
8.7.1.4,14,修理確認の文書化したプロセスをもたなければならないことに従って、どのような情報に従う必要がありますか？,選択肢a：コントロールプラン又は他の関連する文書化した情報,選択肢b：品質管理手法,選択肢c：リスク管理計画,a,要求事項の適合した例：コントロールプラン又は他の関連する文書化した情報に従って、修理確認の文書化したプロセスをもつ。適合していない例：品質管理手法やリスク管理計画に基づいて、修理確認の文書化したプロセスをもつ。箇条要求事項の概要詳細解説：組織は、コントロールプラン又は他の関連する文書化した情報に従って、修理確認の文書化したプロセスをもたなければならない。
8.7.1.4,15,分解又は修理指示書は、どのような要員がアクセスでき、利用できるようにしなければならないでしょうか？,選択肢a：全社員,選択肢b：適切な要員,選択肢c：上層部,選択肢b：適切な要員,選択肢c：上層部の管理者,b,要求事項の適合した例：分解又は修理指示書が適切な要員がアクセスでき、利用できるようにする。適合していない例：全社員や上層部の管理者にのみアクセスを許可する。箇条要求事項の概要詳細解説：再検査及びトレーサビリティ要求事項を含む、分解又は修理指示書は、適切な要員がアクセスでき、利用できなければならない。
8.7.1.4,16,修理される製品の特別採用について、どのような許可を取得しなければならないでしょうか？,選択肢a：顧客からの正式許可,選択肢b：内部監査チームからの許可,選択肢c：製品開発チームからの許可,a,要求事項の適合した例：修理される製品の特別採用について、文書化した顧客の正式許可を取得する。適合していない例：内部監査チームや製品開発チームからの許可を取得する。箇条要求事項の概要詳細解説：組織は、修理される製品の特別採用について、文書化した顧客の正式許可を取得しなければならない。
8.7.1.4,17,修理した製品の処置に関する文書化した情報を保持する際に、どのような情報を含める必要がありますか？,選択肢a：量、処置、処置日及び該当するトレーサビリティ情報,選択肢b：在庫、購入日及び製品開発チームの意見,選択肢c：リスク評価、修理プロセス及び品質保証,a,要求事項の適合した例：修理した製品の処置に関する文書化した情報に、量、処置、処置日及び該当するトレーサビリティ情報を含める。適合していない例：在庫、購入日及び製品開発チームの意見やリスク評価、修理プロセス及び品質保証の情報を含める。箇条要求事項の概要詳細解説：組織は、量、処置、処置日及び該当するトレーサビリティ情報を含めて、修理した製品の処置に関する文書化した情報を保持しなければならない。
8.7.1.4,18,リスク分析（FMEAのような）の方法論を活用してリスク評価を行う必要があるのは、どの場合ですか？,選択肢a：製品を手直しする判断の前,選択肢b：製品の特別採用を取得する前,選択肢c：製品の開発が完了した後,a,要求事項の適合した例：製品を手直しする判断の前に、リスク分析（FMEAのような）の方法論を活用してリスク評価を行う。適合していない例：製品の特別採用を取得する前や製品の開発が完了した後にリスク評価を行う。箇条要求事項の概要詳細解説：組織は、製品を手直しする判断の前に、手直し工程におけるリスクを評価するために、リスク分析（FMEAのような）の方法論を活用しなければならない。
8.7.1.4,19,顧客から要求がある場合、どのプロセスに従わなければならないでしょうか？,選択肢a：手直し確認の文書化したプロセス,選択肢b：特別採用の承認取得,選択肢c：リスク評価の活用,a,要求事項の適合した例：顧客から要求がある場合、コントロールプラン又は他の関連する文書化した情報に従って、原仕様への適合を検証する手直し確認の文書化したプロセスをもたなければならない。適合していない例：特別採用の承認取得やリスク評価の活用のみに従う。箇条要求事項の概要詳細解説：顧客から要求される場合、組織は、製品の手直しを開始する前に、顧客から承認を取得しなければならない。
8.7.1.4,20,組織が修理される製品の特別採用について文書化した顧客の正式許可を取得しなければならないのは、どのような場合ですか？,選択肢a：特別採用が必要となる場合,選択肢b：製品が手直しされる場合,選択肢c：リスク評価が必要な場合,a,要求事項の適合した例：不適合となった製品を意図された用途に対して受入れ可能とするために修理し、特別採用が必要となる場合、文書化した顧客の正式許可を取得する。適合していない例：製品が手直しされる場合やリスク評価が必要な場合に顧客の正式許可を取得する。箇条要求事項の概要詳細解説：組織は、修理される製品の特別採用について、文書化した顧客の正式許可を取得しなければならない。
