8.5.1.3, 11, - ,組織が実施しなければならない事項のうち、誤っているものはどれか？, 選択肢a：段取り替え要員のために文書化した情報を維持する, 選択肢b：作業の段取り替えを検証する, 選択肢c：全ての段取り替えに統計的方法を使用する,c, 適合例：該当する場合に限り、検証に統計的方法を使用している,不適合例：該当しない場合でも強制的に統計的方法を使用している, 箇条要求事項解説：組織は、該当する場合に限り、検証に統計的方法を使用しなければならないと規定されています。全ての段取り替えに統計的方法を強制的に使用することは求められていません。
8.5.1.3, 12, - ,初品と終品の妥当性確認の目的は何か？, 選択肢a：製品の品質を向上させるため, 選択肢b：生産コストを削減するため, 選択肢c：生産効率を向上させるため,a, 適合例：初品と終品の妥当性確認を行い、製品の品質を向上させる取り組みをしている, 不適合例：初品と終品の妥当性確認を行わず、製品の品質が向上しない, 箇条要求事項解説：初品と終品の妥当性確認の目的は、製品の品質を向上させるためです。これにより、段取り替え後の工程および製品の品質が確保されます。
8.5.1.3, 13, - ,初品／終品の妥当性確認を実施する際、必要に応じて保持すべきものは何か？, 選択肢a：初品, 選択肢b：終品, 選択肢c：初品と終品の両方,c, 適合例：初品と終品を必要に応じて保持し、妥当性確認を適切に実施している, 不適合例：初品と終品の保持が不十分で、妥当性確認が適切に行われていない, 箇条要求事項解説：初品／終品の妥当性確認を実施する際には、必要に応じて初品と終品の両方を保持することが望ましいです。これにより、初品と終品の比較が可能となり、品質管理が適切に行われます。
8.5.1.3, 14, - ,該当する場合に必ず実施するべきことは何か？,選択肢a：検証に統計的方法を使用する, 選択肢b：段取り替え要員のために文書化した情報を維持する, 選択肢c：初品／終品の妥当性確認を実施する,a, 適合例：該当する場合に、検証に統計的方法を使用して品質管理を適切に行っている, 不適合例：該当する場合でも、検証に統計的方法を使用せず品質管理が不十分である, 箇条要求事項解説：該当する場合には、必ず検証に統計的方法を使用することが求められています。これにより、品質管理が適切に行われることが期待されます。
8.5.1.3, 15, - ,初品と終品の差異がある場合の対処方法として、次のうち誤っているものはどれか？, 選択肢a：設備や金型などを再調整する, 選択肢b：生産したロットは疑わしいロットと判断し、全数検査を実施する, 選択肢c：差異がある場合でも対処しない,c, 適合例：初品と終品の差異がある場合に適切な対処を行っている, 不適合例：初品と終品の差異がある場合でも何も対処せず、品質管理が不十分である, 箇条要求事項解説：初品と終品の差異がある場合は、設備や金型などを再調整が必要であり、同一ロット初品と終品を比較評価する。差異がある場合は、生産したロットは疑わしいロットと判断し、全数検査を実施することが求められています。
8.5.1.3, 16, - ,段取り替え検証の対象事象として誤っているものはどれか？, 選択肢a：作業の立上げ, 選択肢b：材料ロット変更時, 選択肢c：休憩時間後,c, 適合例：作業の立上げや材料ロット変更時に段取り替え検証を行っている, 不適合例：休憩時間後に段取り替え検証を行っている, 箇条要求事項解説：段取り替え検証の対象事象として、作業の立上げや材料ロット変更時などが挙げられます。休憩時間後は、段取り替え検証の対象事象ではありません。
8.5.1.3, 17, - ,統計的方法による検証の際、比較対象とすべきものは何か？, 選択肢a：規格, 選択肢b：段取り前の安定した工程, 選択肢c：他の製品の品質データ,b, 適合例：統計的方法による検証で、段取り前の安定した工程との比較を行っている, 不適合例：統計的方法による検証で、他の製品の品質データとの比較を行っている, 箇条要求事項解説：統計的方法による検証では、規格との比較ではなく、段取り前の安定した工程との比較が求められています。これにより、段取り替え後の品質管理が適切に行われることが期待されます。
8.5.1.3, 18, - ,段取り替え要員のために文書化した情報の維持が求められている理由は何か？, 選択肢a：作業効率向上のため, 選択肢b：品質管理のため, 選択肢c：コスト削減のため,b, 適合例：文書化した情報を維持して品質管理が適切に行われている, 不適合例：文書化した情報が維持されておらず品質管理が不十分である, 箇条要求事項解説：段取り替え要員のために文書化した情報を維持することが求められている理由は、品質管理のためです。これにより、段取り替え後の品質管理が適切に行われることが期待されます。
8.5.1.3, 19, - ,次のうち、段取り替え検証の際に遵守すべき事項はどれか？,選択肢a：作業の立上げ、材料切替え、又は作業変更のような新しい段取り替えが実行される場合は、作業の段取り替えを検証する, 選択肢b：段取り替え要員に任意の情報を提供する, 選択肢c：検証に統計的方法を使用せずに行う,a, 適合例：作業の立上げや材料切替え、作業変更の際に段取り替え検証を実施している, 不適合例：作業の立上げや材料切替え、作業変更の際に段取り替え検証を行わず、品質管理が不十分である, 箇条要求事項解説：組織は、作業の立上げ、材料切替え、又は作業変更のような新しい段取り替えが実行される場合は、作業の段取り替えを検証することが求められています。これにより、段取り替え後の品質管理が適切に行われることが期待されます。
8.5.1.3, 20, - ,段取り替え検証の目的として正しいものはどれか？, 選択肢a：コスト削減, 選択肢b：生産性向上, 選択肢c：品質確保,c, 適合例：段取り替え検証を行い、品質確保に努めている, 不適合例：段取り替え検証を行わず、品質確保ができていない, 箇条要求事項解説：段取り替え検証の目的は、品質確保です。新しい段取り替えが実行される場合に、作業の段取り替えを検証することで、品質管理が適切に行われることが期待されます。
