8.3.3.2,1,-,製造工程設計へのインプットには以下のうちどれが含まれませんか？,選択肢a：過去の開発からの経験,選択肢b：製品の取扱い及び人間工学的要求事項,選択肢c：顧客からのフィードバック,a,適合した例：製品設計からのアウトプットデータ、生産性とコストの目標、製造技術の代替案などをインプットとして使用。適合していない例：過去の開発からの経験を考慮せずに新製品の設計を行った場合。この箇条は、組織が製造工程設計へのインプットを特定し、文書化し、レビューしなければならないことを要求しています。これには製品設計からのアウトプットデータ、生産性とコストの目標、製造技術の代替案などが含まれますが、それに限定されません。
8.3.3.2,12,-,製造工程設計における「製造技術の代替案」は何を意味しますか？,選択肢a：既存の製造技術に代わる新しい製造技術,選択肢b：製造工程で問題が発生した場合に採用する代替的な製造技術,選択肢c：低コストな製造技術,a,適合した例：既存の製造工程に代わる新しい製造工程を開発し、それを製造技術の代替案として採用する。適合していない例：製造工程で問題が発生した場合のみ、代替的な製造技術を検討する。この箇条では、製造技術の代替案として新しい製造技術の開発や既存の技術の改良を求めています。
8.3.3.2,13,-,どのような場合に製造工程設計を見直すべきですか？,選択肢a：製造工程が完全に失敗した場合のみ,選択肢b：定期的に、または製品要求、製造技術、規制などに変更があった場合,選択肢c：新製品が開発された場合のみ,b,適合した例：製品要求に変更があった場合、それに合わせて製造工程設計を見直す。適合していない例：製造工程が完全に失敗した場合のみ製造工程設計を見直す。この箇条では、製造工程設計は定期的に、または重要なパラメーターに変更があった場合に見直すべきであるとされています。
8.3.3.2,14,-,どのような状況で新材料の採用を検討すべきですか？,選択肢a：新材料が市場に出た場合のみ,選択肢b：既存の材料が廃止された場合のみ,選択肢c：製品の品質改善、コスト削減、製造プロセスの改善、環境影響の低減などが期待できる場合,c,適合した例：アルミニウム合金に代わって、より軽く、コスト効率の良い新しい合金材料を採用する。適合していない例：新しい材料が市場に出たというだけで、それが製品や製造プロセスにどのような影響を及ぼすか評価せずに採用する。この箇条は、新材料の採用を検討する際には、製品の品質、コスト、製造プロセス、環境影響などの観点からその適性を評価すべきであることを示しています。
8.3.3.2,15,-,顧客要求事項を製造工程設計のインプットとする理由は何ですか？,選択肢a：顧客の要求を満たすことで、顧客満足度を向上させるため,選択肢b：顧客の要求を満たすことで、製品の市場性を向上させるため,選択肢c：顧客の要求を満たすことで、製品の生産性を向上させるため,a,適合した例：顧客が要求する特定の品質基準を満たすように製造工程を設計する。適合していない例：顧客の要求を無視し、全ての製造工程設計を自社の内部基準のみで行う。この箇条は、製品の品質を確保し、顧客満足度を向上させるためには、顧客の要求事項を製造工程設計のインプットとして考慮することが重要であると述べています。
8.3.3.2,16,-,製造工程設計においてポカヨケ手法の採用はどの程度重要ですか？,選択肢a：ポカヨケは必須ではないが、好ましい,選択肢b：ポカヨケは必要に応じて採用すれば良い,選択肢c：ポカヨケは問題の大きさに対して適切な程度で、遭遇するリスクに見合う程度に採用すべき,c,適合した例：ある製造工程でヒューマンエラーが頻発する場合、そのエラーを防止するためのポカヨケを設計に組み込む。適合していない例：ヒューマンエラーがほとんどない工程でも、無理にポカヨケを導入し、不必要なコストをかける。この箇条は、ポカヨケの採用は、その工程で遭遇するリスクと問題の大きさを考慮して適切な程度に行うべきであると述べています。
8.3.3.2,17,-,製造工程設計のインプットに関して、どのような情報が特殊特性を含む製品設計からのアウトプットデータに含まれるべきですか？,選択肢a：製品の外観データのみ,選択肢b：製品の形状、寸法、材質、耐久性などの詳細な設計データ,選択肢c：製品の販売価格や販売チャネルの情報,b,適合した例：製品設計のアウトプットデータとして、製品の形状、寸法、材質、耐久性などの詳細データを製造工程設計のインプットとして使用する。適合していない例：製品の外観データのみを製造工程設計のインプットとして使用し、製品の機能性や品質を無視する。この箇条は、製造工程設計のインプットとして製品設計からのアウトプットデータを使用する際には、そのデータが製品の特殊特性を含む全ての重要な情報をカバーしていることが必要であると述べています。
8.3.3.2,18,-,製造工程設計へのインプット要求事項はどのように管理すべきですか？,選択肢a：インプット要求事項は特定し、文書化するだけで良い,選択肢b：インプット要求事項は特定し、文書化し、レビューしなければならない,選択肢c：インプット要求事項は特定し、口頭で伝えれば良い,b,適合した例：製造工程設計へのインプット要求事項を特定し、これらを文書化し、その後レビューを行って適切さを確認する。適合していない例：インプット要求事項を特定し、口頭で伝達し、文書化やレビューを行わない。この箇条は、製造工程設計へのインプット要求事項を特定し、それらを文書化し、レビューしなければならないと規定しています。
8.3.3.2,19,-,工程FMEAにてリスク分析を行う際のインプット情報は何を意味しますか？,選択肢a：工程FMEAを行うために必要な全ての情報,選択肢b：工程FMEAを行うために必要な情報の一部,選択肢c：工程FMEAを行うために必要な情報は存在しない,a,適合した例：工程FMEAにてリスク分析を行う際には、製品設計からのアウトプットデータ、生産性やコストに関する目標、新材料に関する情報など、全ての関連情報がインプット情報として考慮される。適合していない例：工程FMEAにてリスク分析を行う際に、一部の情報のみをインプットとして使用し、他の重要な情報を無視する。この箇条は、工程FMEAにてリスク分析を行う際のインプット情報は全ての関連情報を包括するものであるべきであると規定しています。
8.3.3.2,20,-,製造工程設計において、どのような要求事項が顧客から提出される可能性がありますか？,選択肢a：製品の品質要求事項のみ,選択肢b：製品の品質要求事項および製造コストに関する要求事項,選択肢c：製品の品質要求事項、製造コストに関する要求事項、納期に関する要求事項など、製品と製造工程に関連する全ての要求事項,c,適合した例：顧客から製品の品質要求、製造コストの削減要求、納期の短縮要求など、製品と製造工程に関連する様々な要求事項が提出され、それら全てを製造工程設計のインプットとして考慮する。適合していない例：顧客からの要求事項を品質に関するものだけを考慮し、製造コストや納期に関する要求事項を無視する。この箇条は、製造工程設計のインプットとして、顧客からの全ての要求事項を考慮する必要があると規定しています。



