8.2.3.1.3,30,-,組織の製造フィージビリティ分析は、以下のどのような場合に実施しなければならないか？,選択肢a：新規の製造技術又は製品技術に対して,選択肢b：変更された製造工程又は製品設計に対して,選択肢c：新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して,c,要求事項の適合した例：顧客から新型車のエンジン部品の引き合いを受けた場合、自社の製造技術で顧客の仕様を満たすことができるか、また既存の工程で生産可能かを分析する。適合していない例：顧客から既存の車種のエンジン部品の引き合いを受けた場合、自社の製造技術で顧客の仕様を満たすことができると仮定して分析を省略する。箇条要求事項の概要詳細解説：組織は、自社の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。
8.2.3.1.3,41,-,組織は、新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対してフィージビリティ分析を実施しなければならないが、その際に、以下のどのような要素を考慮するべきか？,選択肢a：顧客要求事項に対応するための製造工程や製品設計の変更内容,選択肢b：顧客要求事項に対応するための製造工程や製品設計の変更内容及びその影響,選択肢c：顧客要求事項に対応するための製造工程や製品設計の変更内容及びその影響とコスト,b,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、フィージビリティ分析を行う際に、顧客要求事項に対応するための金型設計技術やプレス製造技術の変更内容及びその影響を考慮する。例えば、金型設計技術やプレス製造技術の変更内容が、金型加工部門やプレス部門の設備や能力にどのような影響を与えるか、品質管理部門の検査方法や基準にどのような影響を与えるかなどを考慮する。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門だけがフィージビリティ分析を行う際に、顧客要求事項に対応するための金型設計技術の変更内容だけを考慮し、その影響やコストは考慮しない。箇条要求事項の概要詳細解説：組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。その際には、顧客要求事項に対応するための製造工程や製品設計の変更内容及びその影響とコストを考慮することが望ましい。顧客要求事項に対応するための変更内容だけではなく、その変更内容が自社内外に与える影響やコストも重要な判断基準である。
8.2.3.1.3,42,-,組織の製造フィージビリティ分析において、設備投資（製造設備・計測機器等）のコストを評価する際に、どのような基準を用いることが望ましいか？,選択肢a：設備投資のコストと製品の品質との関係を用いる。,選択肢b：設備投資のコストと製品の生産性との関係を用いる。,選択肢c：設備投資のコストと製品の収益性との関係を用いる。,c,要求事項の適合した例：プレス部品脱脂処理に対して、高性能な脱脂機や高精度な計測機器などの設備投資を行う際に、そのコストと製品の収益性との関係を用いて、評価する。例えば、設備投資のコストが500万円で、製品の売上価格が50円で、利益率が20%で、月間生産量が5万個であれば、収益性は200%となり、評価が良いと判断する。適合していない例：プレス部品脱脂処理に対して、高性能な脱脂機や高精度な計測機器などの設備投資を行う際に、そのコストと製品の品質や生産性との関係を用いて、評価しない。例えば、設備投資のコストが500万円で、製品の品質が良くなることや生産性が向上することだけを考慮して、評価が良いと判断する。箇条要求事項の概要詳細解説：組織は、設備投資（製造設備・計測機器等）のコストを評価する際に、そのコストと製品の収益性との関係を用いることが望ましい。これは、顧客から要求される生産量や納期に応じて、投資効果を判断するために必要な基準である。
8.2.3.1.3,43,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に、以下のどのような方法が適切であるか？,選択肢a：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を個別に評価し、最終的に合計すること,選択肢b：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を総合的に評価し、最終的に平均すること,選択肢c：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を総合的に評価し、最終的に最も低い値を採用すること,c,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、フィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を総合的に評価し、最終的に最も低い値を採用する。例えば、金型設計部門が実現可能性を90%と評価し、金型加工部門が実現可能性を80%と評価し、プレス部門が実現可能性を70%と評価した場合、最終的に実現可能性は70%と判断する。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力せずに、フィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を個別に評価し、最終的に合計する。例えば、金型設計部門が実現可能性を90%と評価し、金型加工部門が実現可能性を80%と評価し、プレス部門が実現可能性を70%と評価した場合、最終的に実現可能性は240%と判断する。箇条要求事項の概要詳細解説：組織は、組織の製造工程が一貫して、顧客の規定した全ての技術及び生産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定するための分析を実施するために、部門横断的アプローチを利用しなければならない。部門横断的アプローチとは、関係する部門や機能が協力して、顧客要求事項に対する見解や意見を多角的に集約し、最適な判断を下すことである。その際には、関係する部門や機能の代表者が顧客要求事項に対する実現可能性を総合的に評価し、最終的に最も低い値を採用することが適切である。個別に評価し、最終的に合計したり平均したりすることは適切でない。
8.2.3.1.3,44,-,組織の製造フィージビリティ分析において、設備投資（製造設備・計測機器等）のコストを評価する際に、どのような手順を踏むことが望ましいか？,選択肢a：設備投資のコストと製品の収益性との関係を評価し、その結果に基づいて設備投資の可否を決定する。,選択肢b：設備投資のコストと製品の品質との関係を評価し、その結果に基づいて設備投資の可否を決定する。,選択肢c：設備投資のコストと製品の生産性との関係を評価し、その結果に基づいて設備投資の可否を決定する。,a,要求事項の適合した例：プレス部品脱脂処理に対して、高性能な脱脂機や高精度な計測機器などの設備投資を行う際に、まず設備投資のコストと製品の収益性との関係を評価し、その結果が一定の閾値【例えば、収益性が200%以上】を超える場合に、設備投資を行うことを決定する。適合していない例：プレス部品脱脂処理に対して、高性能な脱脂機や高精度な計測機器などの設備投資を行う際に、まず設備投資の可否を決定し、その後に設備投資のコストと製品の収益性との関係を評価する。箇条要求事項の概要詳細解説：組織は、設備投資（製造設備・計測機器等）のコストを評価する際に、まず設備投資のコストと製品の収益性との関係を評価し、その結果に基づいて設備投資の可否を決定することが望ましい。これは、顧客から要求される生産量や納期に応じて、投資効果を判断するために必要な手順である。
8.2.3.1.3,45,-,組織の製造フィージビリティ分析において、冶工具のコストを評価する際に、どのような要素を考慮しなければならないか？,選択肢a：冶工具のコストと製品の品質とのバランスを考慮する。,選択肢b：冶工具のコストと製品の生産性とのバランスを考慮する。,選択肢c：冶工具のコストと製品の売上価格とのバランスを考慮する。,c,要求事項の適合した例：プレス部品に対して、高精度な冶工具を設計や加工する際に、そのコストと製品の売上価格とのバランスを評価する。例えば、冶工具のコストが100万円で、製品の売上価格が10円で、月間生産量が20万個であれば、バランスは良いと判断する。適合していない例：プレス部品に対して、高精度な冶工具を設計や加工する際に、そのコストと製品の品質や生産性とのバランスを評価しない。例えば、冶工具のコストが100万円で、製品の品質が良くなることや生産性が向上することだけを考慮して、バランスが良いと判断する。箇条要求事項の概要詳細解説：組織は、冶工具のコストを評価する際に、そのコストと製品の売上価格とのバランスを考慮しなければならない。これは、顧客から要求される生産量や納期に応じて、投資効果を判断するために必要な要素である。
8.2.3.1.3,46,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に、以下のどのような方法が適切であるか？,選択肢a：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の現状を基準とすること,選択肢b：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の将来像を基準とすること,選択肢c：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の現状と将来像を基準とすること,c,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、フィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の現状と将来像を基準とする。例えば、金型設計部門が現在使用している金型設計技術だけではなく、今後導入予定の金型設計技術も考慮して、顧客要求事項に対応できるかどうかを判断する。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門だけがフィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の現状だけを基準とし、将来像は考慮しない。箇条要求事項の概要詳細解説：組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。その際には、関係する部門や機能の代表者が顧客要求事項に対する実現可能性を総合的に評価し、最適な判断を下すことである。その際には、自社の製造工程や製品設計の現状と将来像を基準として考慮することが望ましい。現状だけではなく、将来像も重要な判断基準である。
8.2.3.1.3,47,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に、以下のどのような方法が適切であるか？,選択肢a：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱みを分析すること,選択肢b：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の機会や脅威を分析すること,選択肢c：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析すること,c,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、フィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析する。例えば、金型設計部門が自社の金型設計技術の強みとして高精度な仕上がりを挙げ、弱みとして高コストを挙げ、機会として新規市場への参入を挙げ、脅威として競合他社の技術革新を挙げる。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門だけがフィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱みだけを分析し、機会や脅威は分析しない。箇条要求事項の概要詳細解説：組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。その際には、関係する部門や機能の代表者が顧客要求事項に対する実現可能性を総合的に評価し、最適な判断を下すことである。その際には、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析することが望ましい。強みや弱みは自社の内部環境に関する要因であり、機会や脅威は自社の外部環境に関する要因である。これらの要因を分析することで、顧客要求事項に対応するための製造工程や製品設計の変更内容やその影響とコストをより正確に判断できる。
8.2.3.1.3,48,-,組織の製造フィージビリティ分析において、冶工具のコストと製品の売上価格とのバランスを評価する際に、どのようなツールを用いることが望ましいか？,選択肢a：コスト効果分析【コストと効果を比較する分析方法】を用いる。,選択肢b：コストベネフィット分析【コストと収益を比較する分析方法】を用いる。,選択肢c：コストパフォーマンス分析【コストと性能を比較する分析方法】を用いる。,b,要求事項の適合した例：プレス部品に対して、高精度な冶工具を設計や加工する際に、そのコストと製品の売上価格とのバランスを評価するために、コストベネフィット分析を用いる。例えば、冶工具のコストが100万円で、製品の売上価格が10円で、月間生産量が20万個であれば、収益は400万円となり、コストベネフィット比は4となる。この値が一定の閾値【例えば、3以上】を超える場合に、バランスが良いと判断する。適合していない例：プレス部品に対して、高精度な冶工具を設計や加工する際に、そのコストと製品の売上価格とのバランスを評価するために、コスト効果分析やコストパフォーマンス分析を用いる。例えば、冶工具のコストが100万円で、製品の効果が高くなることや性能が向上することだけを考慮して、バランスが良いと判断する。箇条要求事項の概要詳細解説：組織は、冶工具のコストと製品の売上価格とのバランスを評価する際に、コストベネフィット分析を用いることが望ましい。これは、顧客から要求される生産量や納期に応じて、投資効果を判断するために必要なツールである。
8.2.3.1.3,49,-,組織の製造フィージビリティ分析において、コスト対応のための代替製造方法を検討する際に、どのような要素を考慮しなければならないか？,選択肢a：代替製造方法のコストと製品の品質とのバランスを考慮する。,選択肢b：代替製造方法のコストと製品の生産性とのバランスを考慮する。,選択肢c：代替製造方法のコストと製品の売上価格とのバランスを考慮する。,c,要求事項の適合した例：プレス部品に対して、高精度な冶工具を用いる通常の製造方法ではコストが高くなるため、代替製造方法として低精度な冶工具を用いて後工程で加工する方法を検討する際に、そのコストと製品の売上価格とのバランスを評価する。例えば、通常の製造方法では冶工具のコストが100万円で、製品の売上価格が10円であるが、代替製造方法では冶工具のコストが50万円で、後工程で加工するコストが20万円で、製品の売上価格が9円である場合に、バランスが良いと判断する。適合していない例：プレス部品に対して、高精度な冶工具を用いる通常の製造方法ではコストが高くなるため、代替製造方法として低精度な冶工具を用いて後工程で加工する方法を検討する際に、そのコストと製品の品質や生産性とのバランスを評価しない。例えば、通常の製造方法では冶工具のコストが100万円で、製品の品質が良くなることや生産性が向上することだけを考慮して、バランスが良いと判断する。箇条要求事項の概要詳細解説：組織は、コスト対応のための代替製造方法を検討する際に、そのコストと製品の売上価格とのバランスを考慮しなければならない。これは、顧客から要求される生産量や納期に応じて、投資効果を判断するために必要な要素である。
8.2.3.1.3,50,-,組織の製造フィージビリティ分析において、部門横断的アプローチを利用する際に、以下のどのような方法が適切であるか？,選択肢a：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析すること,選択肢b：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析すること及びその結果を文書化すること,選択肢c：関係する部門や機能の代表者が顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析すること及びその結果を文書化し、顧客に報告すること,b,要求事項の適合した例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門、金型加工部門、プレス部門などが協力して、フィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析し、その結果を文書化し、自社内で共有する。適合していない例：顧客から新規開発されたプレス製造技術を用いた金型設計技術の引き合いを受けた場合、金型設計部門だけがフィージビリティ分析を行う際に、顧客要求事項に対する実現可能性を評価する際に、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析し、その結果を文書化せずに、顧客に報告する。箇条要求事項の概要詳細解説：組織は、このフィージビリティ分析を、組織にとって新規の製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対して実施しなければならない。その際には、関係する部門や機能の代表者が顧客要求事項に対する実現可能性を総合的に評価し、最適な判断を下すことである。その際には、自社の製造工程や製品設計の強みや弱み、機会や脅威を分析すること及びその結果を文書化することが望ましい。文書化することで、分析の過程や結果を明確にし、自社内で共有することができる。顧客に報告することは必須ではない。
