8.4.2.3,30,-,供給者の品質マネジメントシステム開発の最終目標は何でしょうか？,選択肢a：ISO9001に対する認証,選択肢b：IATF16949に対する認証,選択肢c：顧客が定めた他のQMS要求事項に対する認証,b,要求事項の適合した例：自動車製品及びサービス供給者は、適格な組織としてIATF16949への認証取得を目標としてQMSを開発し、実施し、改善する。適合していない例：自動車製品及びサービス供給者は、ISO9001に対する認証を取得しただけで、IATF16949への認証取得を目指さない。箇条要求事項の概要詳細解説：この要求事項は、サプライチェーン全体の自動車産業QMSの底上げを意図しており、最終目標をIATF16949としている。ISO9001に対する認証は、開発初期の最低許容レベルである。
8.4.2.3,41,-,供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、Automotive SPICEへの適合を実証するために必要な書類は何でしょうか？,選択肢a：ソフトウェア開発プロセス及び成果物の評価報告書。,選択肢b：ソフトウェア開発プロセス及び成果物の検証報告書。,選択肢c：ソフトウェア開発プロセス及び成果物の検査報告書。,a,要求事項の適合した例：供給者は、ソフトウェア開発プロセス及び成果物の評価報告書を作成し、Automotive SPICE Capability Level 2以上を実証する。適合していない例：供給者は、ソフトウェア開発プロセス及び成果物の検証報告書や検査報告書を作成し、Automotive SPICE Capability Level 2以上を実証すると主張する。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、Automotive SPICE Capability Level 2以上を実証するために、ソフトウェア開発プロセス及び成果物の評価報告書を作成しなければならないことを求めている。評価とは、プロセスや成果物が規定された基準や要求事項に適合しているかどうかを判断することである。
8.4.2.3,42,-,供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に考慮すべき要素は何でしょうか？,選択肢a：顧客からの要求事項や期限、自社の現状分析や目標設定、認証機関の選定や監査日程など。,選択肢b：顧客からの要求事項や期限、自社の現状分析や目標設定、コスト削減や市場競争力など。,選択肢c：顧客からの要求事項や期限、自社の現状分析や目標設定、製品開発や製造工程改善など。,a,要求事項の適合した例：供給者は、顧客からの要求事項や期限、自社の現状分析や目標設定、認証機関の選定や監査日程などを考慮してQMS開発計画を策定し、実施し、報告する。適合していない例：供給者は、顧客からの要求事項や期限、自社の現状分析や目標設定だけでQMS開発計画を策定し、認証機関の選定や監査日程については考慮しない。箇条要求事項の概要詳細解説：この要求事項は、供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に、顧客からの要求事項や期限、自社の現状分析や目標設定、認証機関の選定や監査日程などを考慮しなければならないことを求めている。これは、QMS開発計画が現実的で効果的であることを確保するためである。
8.4.2.3,43,-,供給者が自動車部品脱脂処理などの加工外注先である場合、IATF16949に対する認証取得後に行うべきアクションは何でしょうか？,選択肢a：IATF16949に対する認証取得後は特別なアクションは不要である。,選択肢b：IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を顧客及び自社に提出し、改善状況を定期的に報告する。,選択肢c：IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認する。,c,要求事項の適合した例：供給者は、IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認し、QMS開発レベルの維持・向上に努める。適合していない例：供給者は、IATF16949に対する認証取得後は特別なアクションは不要だと考え、第三者監査報告書及び改善計画書も保管せず、改善状況も確認せず、QMS開発レベルの維持・向上に無関心である。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車部品脱脂処理などの加工外注先である場合、IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認しなければならないことを求めている。これは、QMS開発レベルの維持・向上やリスク低減のためである。
8.4.2.3,44,-,供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、Automotive SPICEへの適合を実証するために必要なプロセスは何でしょうか？,選択肢a：ACQ（調達）、MAN（管理）、ENG（エンジニアリング）、SUP（サポート）の4つのプロセス。,選択肢b：ACQ（調達）、MAN（管理）、ENG（エンジニアリング）、SUP（サポート）、REU（要求管理）の5つのプロセス。,選択肢c：ACQ（調達）、MAN（管理）、ENG（エンジニアリング）、SUP（サポート）、REU（要求管理）、SWE（ソフトウェアエンジニアリング）の6つのプロセス。,c,要求事項の適合した例：供給者は、ACQ（調達）、MAN（管理）、ENG（エンジニアリング）、SUP（サポート）、REU（要求管理）、SWE（ソフトウェアエンジニアリング）の6つのプロセスを実施し、Automotive SPICE Capability Level 2以上を実証する。適合していない例：供給者は、ACQ（調達）、MAN（管理）、ENG（エンジニアリング）、SUP（サポート）の4つのプロセスだけを実施し、Automotive SPICE Capability Level 2以上を実証すると主張する。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品を提供する場合、Automotive SPICE Capability Level 2以上を実証するために、ACQ（調達）、MAN（管理）、ENG（エンジニアリング）、SUP（サポート）、REU（要求管理）、SWE（ソフトウェアエンジニアリング）の6つのプロセスを実施しなければならないことを求めている。これらのプロセスは、ソフトウェア開発における主要な活動や成果物をカバーしている。
8.4.2.3,45,-,供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に参考にすべき文書は何でしょうか？,選択肢a：IATF16949及びISO9001。,選択肢b：IATF16949及びISO9001、ISO/TS16949及びISO9000。,選択肢c：IATF16949及びISO9001、ISO/TS16949及びISO9000、IATF Rules for achieving IATF recognition。,c,要求事項の適合した例：供給者は、IATF16949及びISO9001、ISO/TS16949及びISO9000、IATF Rules for achieving IATF recognitionという3つの文書を参考にしてQMS開発計画を策定し、実施し、報告する。適合していない例：供給者は、IATF16949及びISO9001だけを参考にしてQMS開発計画を策定し、実施し、報告する。箇条要求事項の概要詳細解説：この要求事項は、供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に、IATF16949及びISO9001、ISO/TS16949及びISO9000、IATF Rules for achieving IATF recognitionという3つの文書を参考にしなければならないことを求めている。これらの文書は、自動車産業QMSに関する基本的な規格やルールである。
8.4.2.3,46,-,供給者が自動車部品脱脂処理などの加工外注先である場合、IATF16949に対する認証取得後に行うべき監査は何でしょうか？,選択肢a：内部監査と第三者監査だけでよい。,選択肢b：内部監査と第三者監査と顧客監査が必要である。,選択肢c：内部監査と第三者監査と顧客監査とサプライヤー監査が必要である。,b,要求事項の適合した例：供給者は、内部監査と第三者監査と顧客監査を受け入れて行い、その結果や改善状況を報告する。適合していない例：供給者は、内部監査と第三者監査だけでよいと考えて顧客監査を拒否し、その結果や改善状況も報告しない。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車部品脱脂処理などの加工外注先である場合、IATF16949に対する認証取得後に内部監査と第三者監査と顧客監査を行わなければならないことを求めている。これは、QMS開発レベルの維持・向上やリスク低減のためである。
8.4.2.3,47,-,供給者がプレス製造や射出成型製造などの製造工程を持つ場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に必要なリソースは何でしょうか？,選択肢a：人的リソースと財務リソースだけでよい。,選択肢b：人的リソースと財務リソースと時間的リソースが必要である。,選択肢c：人的リソースと財務リソースと時間的リソースと技術的リソースが必要である。,c,要求事項の適合した例：供給者は、人的リソースと財務リソースと時間的リソースと技術的リソースを考慮してQMS開発計画を策定し、実施し、報告する。適合していない例：供給者は、人的リソースと財務リソースだけを考慮してQMS開発計画を策定し、実施し、報告する。箇条要求事項の概要詳細解説：この要求事項は、供給者がプレス製造や射出成型製造などの製造工程を持つ場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に、人的リソースと財務リソースと時間的リソースと技術的リソースを考慮しなければならないことを求めている。これは、QMS開発計画が現実的で効果的であることを確保するためである。
8.4.2.3,48,-,供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得後に行うべき改善活動は何でしょうか？,選択肢a：内部監査や第三者監査の結果に基づいて改善活動を行うだけでよい。,選択肢b：内部監査や第三者監査の結果に基づいて改善活動を行うとともに、顧客からのフィードバックや市場動向なども考慮して改善活動を行う。,選択肢c：内部監査や第三者監査の結果に基づいて改善活動を行うとともに、顧客からのフィードバックや市場動向なども考慮して改善活動を行う。また、自社の強みや弱み、機会や脅威なども分析して改善活動を行う。,c,要求事項の適合した例：供給者は、内部監査や第三者監査の結果に基づいて改善活動を行うとともに、顧客からのフィードバックや市場動向なども考慮して改善活動を行う。また、自社の強みや弱み、機会や脅威なども分析して改善活動を行う。適合していない例：供給者は、内部監査や第三者監査の結果に基づいて改善活動を行うだけでよいと考え、顧客からのフィードバックや市場動向などは無視し、自社の強みや弱み、機会や脅威なども分析しない。箇条要求事項の概要詳細解説：この要求事項は、供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得後に内部監査や第三者監査の結果に基づいて改善活動を行うとともに、顧客からのフィードバックや市場動向なども考慮して改善活動を行わなければならないことを求めている。さらに、自社の強みや弱み、機会や脅威なども分析して改善活動を行わなければならないことも求めている。これは、QMS開発レベルの維持・向上や競争力強化のためである。
8.4.2.3,49,-,供給者が自動車製品に関係するサービス（例えばコンサルティングやトレーニング）を提供する場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に考慮すべき要素は何でしょうか？,選択肢a：顧客からの要求事項や期限、自社の現状分析や目標設定、認証機関の選定や監査日程など。,選択肢b：顧客からの要求事項や期限、自社の現状分析や目標設定、コスト削減や市場競争力など。,選択肢c：顧客からの要求事項や期限、自社の現状分析や目標設定、製品開発や製造工程改善など。,a,要求事項の適合した例：供給者は、顧客からの要求事項や期限、自社の現状分析や目標設定、認証機関の選定や監査日程などを考慮してQMS開発計画を策定し、実施し、報告する。適合していない例：供給者は、顧客からの要求事項や期限、自社の現状分析や目標設定だけでQMS開発計画を策定し、認証機関の選定や監査日程については考慮しない。箇条要求事項の概要詳細解説：この要求事項は、供給者が自動車製品に関係するサービス（例えばコンサルティングやトレーニング）を提供する場合、IATF16949に対する認証取得に向けてQMS開発計画を策定する際に、顧客からの要求事項や期限、自社の現状分析や目標設定、認証機関の選定や監査日程などを考慮しなければならないことを求めている。これは、QMS開発計画が現実的で効果的であることを確保するためである。
8.4.2.3,50,-,供給者がプレス製造や射出成型製造などの製造工程を持つ場合、IATF16949に対する認証取得後に行うべきアクションは何でしょうか？,選択肢a：IATF16949に対する認証取得後は特別なアクションは不要である。,選択肢b：IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を顧客及び自社に提出し、改善状況を定期的に報告する。,選択肢c：IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認する。,c,要求事項の適合した例：供給者は、IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認し、QMS開発レベルの維持・向上に努める。適合していない例：供給者は、IATF16949に対する認証取得後は特別なアクションは不要だと考え、第三者監査報告書及び改善計画書も保管せず、改善状況も確認せず、QMS開発レベルの維持・向上に無関心である。箇条要求事項の概要詳細解説：この要求事項は、供給者がプレス製造や射出成型製造などの製造工程を持つ場合、IATF16949に対する認証取得後は第三者監査報告書及び改善計画書を自社内で保管し、改善状況を定期的に確認しなければならないことを求めている。これは、QMS開発レベルの維持・向上やリスク低減のためである。
8.4.2.3,51,-,供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認証取得前に行うべきアクションは何でしょうか？,選択肢a：IATF16949及びISO9001という2つの文書を参考にしてQMS開発計画を策定し、実施し、報告する。,選択肢b：IATF16949及びISO9001という2つの文書とISO/TS16949及びISO9000という2つの文書とIATF Rules for achieving IATF recognitionという1つの文書という5つの文書を参考にしてQMS開発計画を策定し、実施し、報告する。,選択肢c：IATF16949及びISO9001という2つの文書とISO/TS16949及びISO9000という2つの文書という4つの文書を参考にしてQMS開発計画を策定し、実施し、報告する。,b,要求事項の適合した例：供給者は、IATF16949及びISO9001という2つの文書とISO/TS16949及びISO9000という2つの文書とIATF Rules for achieving IATF recognitionという1つの文書という5つの文書を参考にしてQMS開発計画を策定し、実施し、報告する。適合していない例：供給者は、IATF16949及びISO9001という2つの文書だけを参考にしてQMS開発計画を策定し、実施し、報告する。箇条要求事項の概要詳細解説：この要求事項は、供給者が金型設計や金型加工などの製造工程を持つ場合、IATF16949に対する認
