4, 組織の状況*
5.1.2, 顧客重視*トップマネジメントは、次の事項を確実にすることによって、顧客重視に関するリーダーシップ及びコミットメントを実証しなければならない。*a)顧客要求事項及び適用される法令・規制要求事項を明確にし、理解し、一貫してそれを満たしている。*b)製品及びサービスの適合並びに顧客満足を向上させる能力に影響を与える得る、リスク及び機会を決定し、取り組んでいる。*c)顧客満足向上の重視が維持されている。*
5.2, 方針*
5.2.1, 品質方針の確立*トップマネジメントは、次の事項を満たす品質方針を確立し、実施し、維持しなければならない。*a)組織の目的及び状況に対して適切であり、組織の戦略的な方向性を支援する。*b)品質目標の設定のための枠組みを与える。*c)適用される要求事項を満たすことへのコミットメントを含む。*d)品質マネジメントシステムの継続的改善へのコミットメントを含む*
5.2.2, 品質方針の伝達*品質方針は、次に示す事項を満たさなければならない。*a)文書化した情報として利用可能な状態にされ、維持される。*b)組織内に伝達され、理解され、適用される。*c)必要に応じて、密接に関連する利害関係者が入手可能である。*
5.3, 組織の役割、責任及び権限*トップマネジメントは、関連する役割に応じて、責任及び権限が割り当てられ、組織内に伝達され、理解されることを確実にしなければならない。*トップマネジメントは、次の事項に対して、責任及び権限を割り当てなければならない。*a)品質マネジメントシステムが、この規格の要求事項に適合することを確実にする。*b)プロセスが、意図したアウトプットを生み出すことを確実にする。*c)品質マネジメントシステムのパフォーマンス及び改善(10.1参照)の機会を特にトップマネジメントに報告する。*d)組織全体にわたって、顧客重視を促進することを確実にする。*e)品質マネジメントシステムへの変更を計画し、実施する場合には、品質マネジメントシステムへの変更を計画し、*実施する場合には、品質マネジメントシステムを【完璧に整っている状態】(intgrity)に維持することを確実にする。*
5.3.1, 組織の役割責任及び権限一補足*トップマネジメントは、 顧客要求事項が満たされることを確実にするた*3 しなければならない. これらの任命*、 文書化しなければならない. これには、 特殊特性の選定、 品質目標の*設定及び関連する教育訓練、 基正処置及び予防処置、 製品の設計・開発、*生産能力分析、 物流情報、 琶室スコアカード久び用容ポー タルを含める*が、 それに限定されない.*
5.3.2, 製品要求事項及び是正処置に対する責任及び権限*トップマネジメントは、 次の事項を確実にしなければならない.*a) 製品要求事項への適合に責任を負う要員は、 品質問題を起止するため*に、 出荷を停止し、 生産を停止する権限をもつ.*注記 産業によっては工程設計のゆえに、 必ずしも直ちに生産を*停止できない場合がある. この場合、 影響のあるバッチは*封じ込めて、 顧客への出荷を防止しなければならない.*b) 不適合製品が顧客に出稚きれないように、 また、 全ての深在的不適合*製品を識別し封じ込めるために、 基正処置に対する権限及び責任をも*つ要員に、 要求事項に適合しない製品又はプロセスの情報が速やかに*報告される.*c) 全てのシフトにわたる生産活動に、 製品要求事項への適合を確実にす*る貢任を負う、 又はその責任を委任された要員を配置する.*
6, 計画*
6.1, リスク及び機会への取り組み*
6.1.1, 品質マネジメントシステムの計画を作成するとき、組織は4.1に規定する課題及び4.2に規定する要求事項を考慮し、*次の事項のために取り組む必要があるリスク及び機会を決定しｈなければならない。*a)品質マネジメントシステムが、その意図した結果を達成できるという確信を与える*b)望ましい影響を増大する*c)望ましくない影響を防止又は低減する*d)改善を達成する。*
6.1.2, 組織は次の事項を計画しなければならない*a)上記によって決定したリスク及び機会への取組み*b)次の事項を行う方法*1)その取組身の品質マネジメントシステムプロセスへの統合及び実施(4.4参照)*2)その取組みの有効性の評価*リスク及び機会への取組は、製品及びサービスの適合への潜在的な影響と見合ったものでなければならない。*注記1 リスクへの取組の選択肢には、リスクを回避すること、リスク源を除去すること、起こりやすさ若しくは結果を変えること、*リスクを共有すること、又は情報に基づいた意思決定によってリスクを保有することが含まれ得る。*注記2 機会は、新たな慣行の採用、新製品の発売、新市場の開拓、新たな顧客への取組み、パートナーシップの構築、*新たな技術の使用、及び組織のニーズ又は顧客のニーズに取り組むためのその他の望ましくかつ実行可能な可能性につながり得る。*
6.1.2.1, リスク分析*組織は、 最低限、 製品のリコールから学んだ教訓、 製品監査、 市場で起*きた回収・修理。 苦情. スクラップ及び手直しを、 リスクタ分析に含めなけ*ればならない.*組織は、 リスク分析の結果の証拠として、 文書化した情報を保持しなけ*ればならない.* 
6.1.2.2, 予防処置*組織は、 起こり得る不適合が発生することを防止するために、 その原因*を除夫する処置を決め、 実施しなければならない. 予防処置は、 起こり得*る問題の重大性に応じたものでなければならない.*組織は、 次の事項を含む、 リスクの悪影響を及ぼす度合いを減少させる*プロセスを確立しなければならない.*a) 起こり得る不適合及びその原因の特定*b) 不適合の発生を予防するための処思の必要性の評価*c) 必要な処置の決定及び実施*d) とった処置の文書化した情報*e) とった予防処置の有効性のレビュー*f) 類似プロセスでの再発を防止するために学んだ教訓の利用(ISO 9001*の 7.1.6 参照)*
6.1.2.3,緊急事態対応計画*組織は、 次の事項を実施しなければならない.*a) 顧客要求事項が満たさきれることを確実にし、 生産からのアウトプット*を維持するのに不可欠な全ての製造工程及びインフラストラクチャの*設備に対する内部及び外部のリスクを特定し評価する.*b) 顧客へのリスク及び影響に従って、 緊急事惑対応計画を定める.*c) 次のような事態において、 供給の継続のために緊急事態対応計画を*準備する. 主要設備の故障 (8.5.6.1.1 も参照)、 外部から提供される製*品、プロセス、 及びサービスの中断、 繰り返し発生する自然災害、火事、 電気・ガス・水道の停止、 労働力不足、 又はインフラストラクナチ*ャ障害*d) 顧客の操業に影響するあいかなる状況も、 その程度及び期間に対して、*顧客及び他の利害関係者への通知プロセスを、 緊急事態対応計画の補*完として含める.*e) 有効性(例 必要に応じて、 シミュレーション) について、 定期的に*緊急事態対応計画をテストする.*人) トップマネジメントを含む部門横断ナチームによって、 緊急事態対応計*画のレビューを行い (最低限、 年次で)、 必要に応じて更新する.*g) 緊急事態対応計画を文書化し、 また、 変更を正式許可した人を含む、*いかなる改計をも記述した文書化した情報を保持する.*村急事王対応計画には、 生産が停止した緊急事態の後で生産を再稼働し*たとき及び正規のシャットダウンプロセスがとられなかった場合、 製造さ*れた製品が引き続き顧客仕様を満たすことの妥当性確認条項を含めなけれ*ばならない.*
6.2, 品質目標及びそれを達成するための計画策定*
6.2.1, 組織は、品質マネジメントシステムに必要な、関連する機能、階層及びプロセスにおいて、品質目標を確率しｈなければならない。*品質目標は、次の事項を満たさなければならない。*a)品質方針と整合している。*b)測定可能である。*c)適用される要求事項を考慮に入れる。*d)製品及びサービスの適合、並びに顧客満足の向上に関連している。*e)監視する。*f)伝達する。*g)必要に応じて、更新する。*組織は、品質目標に関する文書化した情報を維持しなければならない。*
6.2.2, 組織は、品質目標をどのように達成するかについて計画するとき、次の事項を決定しなければならない。*a)実施事項*b)必要な資源*c)責任者*d)実施事項の完了時期*e)結果の評価方法*
6.2.2.1, 品質目標及びそれを達成するための計画策定一補足*トップマネジメントは、 組織全体にわたって、 関連する機能. プロセス*及び階層において、 以客要求事項を満たす品質目標を定め、 確立し及び維*持することを確実にしなければならない.*利害関係者及びその関連する要求事項に関する組織のレビューの結果*は、 組織が最低限、 年次の品質目標及び関係するパフォーマンス目標 (内*部及び外部) を確立する際に、 考慮しなければならない.*
6.3, 変更の計画*組織が品質マネジメントシステムの変更必要性を決定した時、その変更は、 計画的な方法で行わなければならない(4.4参照)*組織は、 次の事項を考慮したなければない。*a) 変更の目的、 及びそれによって起こり得る結果*b) 品質マネジメントシステムの【完全に整っている状態 】(integrity)*c)資源の利用可能性*d)責任及び権限の割当て又は再割当て*
7, 支援*
7.1, 資源*
7.1.1, 一般*組織は、 品質マネジメン トシステムの確立、実施、、維持及び継続的* 改善に必要な資源を明確にし、 提供しなければならない。*a)既存の内部資源の実現能力及び制約*b)外部提供者から取得する必要があるもの*
7.1.2, 人々*組織は、品質マネジメントシステムの効果的な実施、並びにそのプロセスの適用及び管理のために必要な人々を明確にし、提供しなければならない*
7.1.3, インフラストラクチャ*組織は、プロセスの運用に必要なインフラストラクチャ、並びに製品及びサービスの適合を達成するために必要なインフラストラクチャを明確にし、*提供し、維持しなければならない。*注記 インフラストラクチャには、次の事項が含まれ得る。*a)建物及び関連するユーティリティ*b)設備、これにはハードウェア及びソフトウェアを含む*c)輸送のための資源*d)情報通信技術*
7.1.3.1, 工場、 施設及び設備の計画*間野 策定し改善するために、 リスク特*定及びリスク緩和の方法を含めて、 部門横断的アプローチを用いなければ*ならない. 工場レイアウトを設計する際は、 組織は次の事項を実施しなけ*ればならない.*a) 不適合製品の管理を含む、 材料の流れ、 材料の取扱い及び現場スペー*スの付加価値のある活用を最適化する.*b) 該当する場合には、 必ず、 同期のとれた材料の流れを促進する.*新製品及び新運用に対する製造フィージビリティを評価するために、 方*法を開発し、 実施しなければならない. 製造フィージビリティ評価には、*計画を含めなければならない. これらの方法は、 既存の運用への*提案された変更を評価することにも適用可能でなければならない.*組織は、 リスクに関連する定期的再評価を含めて、 工程承認中になされ*変更、 コントロールプランの維持 (8.5.1.1 参照) 及び作業の段取り替*え検証 (8.5.1.3 参照) を取り入れるために、 工程の有効性を維持しなけ*ればならない.*製造フィージビリティ評価及び生産能力評価は、. マネジメントレビュー*へのインプットとしなければならない (TSO 9001 の 9.8 参照).*注記1 これらの要求事項には、 リーン生産の原則の適用を含めるこ*とが塵ましい.*注記2 これらの要求事項は、 該当する場合には、 必ず、 サイト内供*給者の活動に適用することが望ましい.*
7.1.4, プロセスの運用に関する環境*組織は、プロセスの運用に必要な環境、並びに製品及びサービスの適合を達成するために必要な環境を明確にし、提供し、維持しなければならない。*注記 適切な環境は、次のような人的及び物理的要因の組合せであり得る。*a)社会的要因(例えば、非差別的、平穏、非対立的)*b)心理的要因(例えば、ストレス軽減、燃え尽き症候群防止、心のケア)*c)物理的要因(例えば、気温、熱、湿度、光、気流、衛生状態、騒音)*これらの要因は、提供する製品及びサービスによって、大いに異なり得る。*注記 ISO45001(又はそれに相当するもの)への第三者認証が承認されれば、この要求事項の要員安全に対する組織の適合を実証するために用いてもよい。*
7.1.4.1, プロセスの運用に関する環境-補足*組織は、製品及び製造工程のニーズに合わせて、事業所を整頓され清潔で手入れされた状態に維持しなければならない。*
7.1.5, 監視及び測定のための資源*
7.1.5.1, 一般*要求事項に対する製品及びサービスの適合を検証するために監視又*は測定を用いる場合、 組織は、 結果が妥当で信頼できるものであるこ*とを確実にするために必要な資源を明確にし、提供しなければならない。*組織は、用意した資源が次の事項を満たすことを確実にしなければならない。*a)実施する特定の種類の監視及び測定活動に対して適切である。*b) その目的に鞭続して合致することを確実にするために維持されている。*組織は、 監視び測定のための資源が目肘合致している証拠とし*て、 適切な文書化した情報を保持しなければならない.*
7.1.5.1.1, 測定システム解析*コントロールプランに特定されている各種の検査、 測定及び試験設備シ*ステムの結果に存在するばらつきを解析するために、 統計的調査を実施し*なければならない. 使用する解析方法及び合否判定基準は、 測定システム*解析に関するレファレンスマニュアルに適合しなければならない. 顧客が*承認した場合は、 他の解析方法及び合否判定基準を使用してもよい.*代禁方法に対する顧客承諾の記録は、 代替の測定システム解析の結果と*ともに保持しなければならない (9.1.1.1 参照).*注記 MSA 調査の優先順位は、 製品若しくは工程の重大特性又は特*殊特性を重視することが望ましい.*
7.1.5.2, 測定のトレーサビリティ*測定のトレーサビリティが要求事項となっている場合、又は組織が*それを測定結果の妥当性に信頼を与えるための不可欠な要素といなす*場合には、 測定機器は、 次の事項を満たさなければならない.*a) 定められた間隔で又は使用前に、 国際計量標准又国家計量標準*に対してトレーサブルである計量標準に照らして校正若しくは検*証、 又はそれらの両方を行う. そのような標準が存在しない場合*には、 校正又は検証に用いたよりどころを、文書化した情報とし*て保持する.*b)それらの状態を明確にするために議別を行う。*c)校正の状態及びそれ以降の測定結果が無効になってしまうような*調整、 損傷又は劣化から保護する。*測定機器が意図した目的に適していないことが判明した場合、 組織*は、それまでに測定した結果の妥当性を損なうものであるか否かを明*確にし、必要に応じで、 適切な処置をとらなければならない.*注記 機器の校正記録に対してトレーサブルな番号又は他の識別子*は、ISO9001:2015における要求事項の意図を満たす。*
7.1.5.2.1, 校正/検証の記録*組織は、校正/検証の記録をマネジメントする文書化したプロセスをも*たなければならない。 内部要求事項、 法令・規制要求事項及び顧客が定め*た要求事項への適合の証拠を提供するために必要な、 全てのゲージ、 測*定機器及び試験設備 (測定に関連する従業員所有の機器、 顧客所有の機*器、 サイト内供給者所有の機器を含む.) に対する校正/検証の活動の記*録は、 保持しなければならない.*組織は、校正/検証の活動及び記録には次の詳細事項を含めなければな*らないことを確実にしなければならない.*a) 測定システムに影響する、 設計変更による改訂*b) 校正/検証のために受け入れた状態で、 仕様外れの値*c) 仕様外れ状態によって引き起こされ得る製品の意図した用途に対する*リスクの評価*d) 検査測定及び試験設備が、 計画した検証中若しくは校正中に、又はそ*の使用中に、 校正外れ又は故障が発見された場合、 この検査測定及び*試験設備によって得られた以前の測定結果の妥当性に関する文書化し*た情報を、 校正報告書に関連する標準器の最後の校正を行った日付及*び次の校正が必要になる期限を含めて、 保持しなければならない.*e) 疑わしい製品又は材料が出荷された場合の顧客への通知*f) 校正/検証後の、 仕様への適合表明*g) 製品及び工程の管理に使用されるソフトウェアのバージョンが指示ど*おりであることの検証*h) 全てのゲージ (従業員所有の機器、 顧客所有の機器、 サイト内供給者*所有の機器を含む.) に対する校正及び保全活動の記録*i) 製品及び工程の管理に使用される (従業員所有の機器、 顧客所有の機*器、 サイト内供給者所有の機器にインストールされたソフトウェアを*含む。)生産に関係するソフトウエアの検証。*
7.1.5.3.1, 内部試験所*組織内部の試験所施設は、 要求される検査、試験又は校正サービスを*実行する能力を含む、 定められた適用範囲をもたなければならない。この*試験所適用範囲は、 品質マネジメントシステム文書に含めなければならな*い。 試験所は、最低限、次の事項に対する要求事項を規定し、 実施しなけ*ればならない.*a)試験所の技術手順の適切性*b)試験所要員の力量*c)製品の試験*d)該当するプロセス規格 (ASTM、 EN などのような)にトレーサブル*な形で、これらのサービスを正確に実行する能力. 国家標準又は国際*標準が存在しない場合、組織は、測定システムの能力を検証する手段*を定めて実施しなければならない。*e)もしあれば、顧客要求事項*f)関係する記録のレビュー*注記 ISO/IEC17025(又はそれに相当するもの)に対する第三者認定を、組織の内部試験所がこの要求事項に適合していることの実証に使用しても良い。*
7.1.5.3.2, 外部試験所*組織が検査、試験、 又は校正サービスに使用する、 外部/商用/独立の*試験所施設は、要求される検査、 試験、 又は校正を実行する能力を含む、*定められた試験所適用範囲をもたなければならない。 また、 次の事項のい*ずれかを満たさなければならない.*試験所は、 ISO/IEC 17025 又はこれに相当する国内基準に認定され、*該当する検査、試験、又は校正サービスを認定(認証書)の適用範囲*に含めなければならない。 校正又は試験報告書の認証書は、国家認定*機関のマークを含んでいなければならない.*外部試験所が顧客に受け入れられることができるとの証拠がなければ*ならない。*注記 そのような証拠は、例えば、試験所がISO/IEC 17025又はこれに相当する国内基準の意図を満たすとの顧客評価、*又は顧客が認めた第二者監査評価によって、実証してもよい。顧客が認めた評価方法を使用して試験所を評価する組織によって第二者監査評価を実行してもよい。*ある機器に対して認定された試験所を利用できない場合、校正サービスは、機器の製造業者によって実行してもよい。*この場合、組織は7.1.5.3.1に記載された要求事項を満たすことを確実にしなければならない。*校正サービスの使用は、認定された(又は顧客が認めた)試験所以外に*よる場合、要求されれば、政府規制の確認の対象となる場合がある。*
7.1.6, 組織の知識*組織は、プロセスの運用に必要な知識、 並びに製品及びサービスの*適合を達成するために必要な知識を明確にしなければならない。*この知識を維持し、 必要な範囲で利用できる状態にしなければなら*ない*変化するニーズ及び傾向に取り組む場合、 組織は、 現在の知識を考*慮し、必要な追加の知識及び要求される更新情報を得る方法又はそれ*らにアクセスする方法を決定しなければならない。*注記 1 組織の知識は、組織に固有な知識であり、それは一般的*に経験によって得られる. それは、組織の目標を達成す*るために使用し、共有する情報である.*注記 2 組織の知識は、次の事項に基づいたものであり得る。*a) 内部の知識源 (例えば、 知的財産、 経験から得た知*識、成功プロジェクト及び失敗から学んだ教訓、 文*書化していない知識及び経験の取得及び共有、プロ*セス、 製品及びサービスにおける改善の結果)*b) 外部の知識源(例えば、標準、学界、会議、顧客又*は外部の提供者からの知識収集)*
7.2, 力量*組織は、次の事項を行わなければならない.*a) 品質マネジメントシステムのパフォーマンス及び有効性に影響を*与える業務をその管理下で行う人 (又は人々)に必要な力量を明*確にする.*b)適切な教育訓練又は経験に基づいて、 それらの人々が力量を備*えていることを確実にする.*c) 該当する場合には、必ず、必要な力量を身に付けるための処置を*とり、とった処置の有効性を評価する.*d) 力量の証拠として、 適切な文書化した情報を保持する.*注記 適用される処置には、例えば、現在雇用している人々に対*する、 教育訓練の提供、 指導の実施、 配置転換の実施など*があり、また、 力量を備えた人々の雇用、そうした人々と*の契約締結などもあり得る.*
7.2.1, 力量補足*組織は、製品及びプロセス要求事項への適合に影響する活動に従事する*全ての要員の、 認識 (7.3.1 参照) を含めて、 教育訓練のニーズ及び達成*すべき力量を明確にする文書化したプロセスを確立し、 維持しなければな*らない. 必要に応じて、 顧客要求事項を満たすことに特に配慮して、 特定*の業務に従事する要員を適格性確認しなければならない.*
7.2.2, 力量一業務を通じた教育訓練 (OJT)*組織は、 品質要求事項への適合、 内部要求事項、 規制又は法令要求事項*に影響する、 新規の又は変更された責任を負う要員に対し、 業務を通じた*教育訓練 (OJT) (これには雄客要求事項の教育訓練を含めなければなら*ない.) を提供しなければならない. これには、 契約又は派遣の要員を含*めなければならない. 業務を通じた教育訓練 (OJT) に対する詳細な要求*レベルは、 要員が有する教育及び日常業務を実行するために必要な任務の*複雑さのレベルに見合っていなければならない. 品質に影響し得る仕事に*従事する要員には、 顧客要求事項に対する不適合の因果関係について、 知*らせなければならない.*
7.2.3, 内部監査上員の力量*組織は、 顧客固有要求事項を考慮に入れて、 内部監査員が力量をもつこ*とを検証する文書化したプロセモスをもたなければならない. 監査員の力量*に関する追加の手引には、 ISO 19011 を参照する. 組織は、 資格をもつ*内部監査員のリストを維持しなければならない.*品質マネジメントシステム監査員、 製造工程監査員及び製品監査中は、*全て、 次の最低限の力量を実証できなければならない.*a)リスクに基づく考え方を含む、 監査に対する自動車産業プロセスアプ*ローチの理解*b)該当する顧客固有要求事項の理解*c)監査範囲に関係する、 該当する TSO 9001 及び IATF 16949 要求事項*の理解*d)監査範囲に関係する、 該当するコアツール要求事項の理解*e)計画。 実施、 報告及び監査所見の完了の仕方の理解*さらに、 製造工程監査員は、 監査対象となる該当する製造工程の、 工程*リスク分析 (PFMEA のような) 及びコントロールプランを含む、 専門的*理解を実証しなければならない. 製品監査員は、 製品の適合性を検証する*ために、 製品要求事項の理解、 並びに該当する測定及び試験設備の使用に*おいて、 力量を実証しなければならない.*力量を獲得するために教育訓練が提供される際は、 上記要求事項を備え*たトレーナーの力量を実証するために文書化した情報を保持しなければな*らない.*内部監査員の力量における維持及び改善は、 次の事項を通じて実証しな*ければならない.*f)組織が定める、 年間最低回数の監査の実施*g)内部変化 (例 工程技術、 製品技術) 及び外部変化 (例 ISO 9001、*IATF 16949。 コアツール及び顧客固有要求事項) に基づく、 該当す*る要求事項の知識の維持*
7.2.4, 第二者監査員の力量*組織は、 第二者監査を実施する監査員の力量を実証しなければならな*い. 第二者監査員は、 監査員の適格性確認に対する顧客固有要求事項を満*たし、 次の事項の理解を含む、 最低限の核となる次の力量を実証しなけれ*ばならない.*a)リスクに基づく考ぇ方を含む、 監査に対する自動車産業プロセスアプ*ローチ*b)該当する顧客及び組織の固有要求事項*c)監査範囲に関係する、 該当する ISO 9001 及びIATE 16949 要求事項*d)PFMEA 及びコントロールプランを含む、 監査対象となる製造工程*e)監査男囲に関係する、 該当するコアツール要求事項*f)計画、 実施、 監査報告書の準備及び監査所見の完了の仕方*
7.3, 認識*組織は、 組織の管理下で働く人々が、 次の事項に関して認識をもつ*ことを確実にしなければならない。*a)品質方針*b)関連する品質目標*c)パフォーマンスの向上によって得られる便益を含む、 品質マネジ*メントシステムの有効性に対する自らの貢献*d) 品質マネジメントシステスム要求事項に適合しないことの意味*
7.3.1, 認識一補足*組織は、 全ての従業員が、 顧客要求事項及び不適合製品に関わる顧客の*リスクを含む、 従業員が製品品質に及ぼす影響、 並びに品質を達成し、 維*持し及び改善するために行う活動の重要性を認識することを実証する、 文*書化した情報を維持しなければならない.*
7.3.2, 従業員の動機付け及びエンパワーメント*組織は、 品質目標を達成し、 継続的改善を行い及び革新を促進する環境*を創造するための、 従業員を動機付ける文書化したプロセスを維持しなけ*ればならない. そのプロセスには、 組織全体にわたって品質及び技術的*識を促進することを含めなければならない.*
7.4, コミュニケーション*組織は、次の事項を含む、品質マネジメントシステムに関連する内部及び外部のコミュニケーションを決定しなければならない。*a)コミュニケーションの内容*b)コミュニケーションの実施時期*c)コミュニケーションの対象者*d)コミュニケーションの方法*e)コミュニケーションの行う人*
7.5, 文書化した情報*
