4.4, 品質マネジメントシステム及びそのプロセス *
5.1.2, 顧客重視 *顧客満足の向上を目指して、要求事項を満たされていることを確実にするための活動を次の通りとして *維持してください。 *(1) 顧客要求事項及び適用される法令・規制要求事項を明確にし、理解する。 *(2) 製品・サービスの適合並びに顧客の満足を向上させる能力に影響を与えるリスク及び機会を決定する。 *(3) 顧客満足向上の重視が維持されるよう社内に働きかける。 *
5.2, 方針 *
5.2.1, 品質方針の確立 *経営者は以下を満たす品質方針を確立してください。 *(1) 組織の目的及び状況に対して適切である。 *(2) 品質目標の設定にための枠組みを与える。 *(3) 適用される要求事項を満たすことへのコミットメントを含む。 *(4) 継続的改善へのコミットメントを含む。 *
5.2.2, 品質方針の伝達 *品質方針は以下の事項を満たしてください。 *(1) 文書化し、利用可能な状態に維持される。 *(2) 組織内に伝達され、理解され、適用される。 *(3) 必要に応じて、密接に関連する利害関係者が入手可能な状態にする。 *
5.3, 組織の役割、責任及び権限 *関連する役割に対して、責任及び権限が割り当てられ、伝達され理解される事を確実にしてください。 *(1) 自社の品質マネジメントシステムが、当社要求事項に適合する事を確実にする。 *(2) プロセスが意図したアウトプットを生み出すことを確実にする。 *(3) 品質てマネジメントシステムのパフォーマンス及び改善の機会をトップマネジメントに報告する。 *(4) 組織全体にわたって顧客重視を推進する事を確実にする。 *(5) 品質マネジメントシステムの変更を計画し、実施する場合には、品質マネジメントシステムの完全性を *維持することを確実にする。 *
5.3.1, 組織の役割、責任及び権限-補足 【IATF】【限定】 *経営者は当社要求事項を満たすことを確実にするために、責任及び権限を持つ要員を任命し下記事項を含め *文書化する。 *・ 特殊特性の選定    ・ 品質目標の設定および関連する教育訓練 *・ 是正処置及び予防処置 ・製品の設計、開発 *・生産能力分析     ・ 物流情報 *・当社スコアカード (指定ある場合) *
5.3.2, 製品要求事項及び是正処置に対する貢任及び権限【IATF】【全体】 *是正処置に対する責任及び権限をもつ管理者を明確にして下さい。要求事項に不適合となった製品又はプロ *セスの情報が、その管理者に速やかに報告されるようにして下さい。 *製品要求事項への適合に責任をもつ人を明確にして下さい。 また、その南任者には、 品質問題を是正するた *めに生産を停止する権限を与えて下さい。 *すべての生産シフト (直) にわたる生産活動に、 製品要求事項への適合を確実にする責任をもつ又はその責 *任を委任された従業員を配置して下さい。すべてのシフトにおいて品質問題を是正するために生産を停止す *る責任を持つ人員を配置して下さい。 *取引先企業における品質責任者 *是正処置に対する責任及び権限をもつ管理者     選定し、 責任及び権限を定め、全員に周知願います。 *品抽管理部門長または指名者 *(要求事項に不適合となった製品及びプロセス) *製品要求事項への適合に責任をもつ従業員      選定し、 責任及び権限を定め、全員に周知願います。 *品質管理部門長または指名者 *(品質問題是正のための生産停止権限をもつ) *すべてのシフト (直) にわたる責任をもつ責任者   シフト毎に選定し、責任及び権限を定め、全員に周 *製造部門長または指名者              知願います。 *又は委任された従業員 *  *
6., 計画 *
6.1, リスク及び機会への取り組み *
6.1.1, *品質マネジメントシステムの計画を策定する時、4.1 に規定する課題及び 4.2 に規定する要求事項を考慮し *リスク及び機会を決定してください。 *
6.1.2, *下記の事項を計画してください。 *(1) 決定したリスク及び機会への取り組み *(2) その取組に対する有効性の評価 *
6.1.2.1, リスク分析【IATF】【全体】 *取引先企業は、 製品リコールから学んだ教訓、 製品監査、クレーム等の過去トラをリスク分析に含めてくだ *さい。 リスク分析にはFME Aなどのツールを用いる事とし、 新規作成又は改訂の際にインプットとして過 *去トラ情報を反映させる。 *
6.1.2.2, 予防処置【IATF】【全体】 *取引先企業は、起こり得る不適合が発生することを防止するために、 その原因を除去する処置を決めて下さ *い。 予防処置は、問題の影響に応じたものとして下さい。 *次の事項に関する要求事項を規定するために、文書化された手順を確立して下さい。 *(1) 起こり得る不適合及びその原因の特定 *(2) 不適合の発生を予防するための処置の必要性の評価 *(3) 必要な処置の決定及び実施 *(4) とった処置の結果の記録 *(5) とった予防処置の有効性のレビュー *(6) 類似プロセスでの再発を防止するために学んだ教訓の利用 *
6.1.2.3, 緊急事態対応計画【IATF】【全体】 *取引先企業は次の事項を実施して下さい。 *(1) 当社要求事項が満たされる事を確実にするため、 生産からのアウトプットを維持するのに不可欠な全て *の代替生産地の製造工程及びインフラストラクチャー設備を特定する。 *(2) 次のような状態となり、顧客要求事項を満たす生産の継続が困難となった状態を「緊急事態」とし、 *代替生産方法及び生産地を検討する。工場火災・爆発、停電・断水、重要設備の故障、材料供給途絶、 *労働力不足、台風・豪雨・豪雪などの天候被害、サイバー攻撃。 *(3) 当社の操業に影響するいかなる状況も、その程度及び期間を顧客及び他の利害関係者へ通知すること *を確実にする。 *BCPを策定する、もしくは皿急事態を想定し、回復日程を考慮した適正な在庫を持つルールを作成 *する。 *(4) 代替生産方法及び生産地は部門横断チームによって、最低限年次でレビューを行い、必要に応じて更新 *する。有効性確認のためのシミュレーションについては、年次レビューで実施する。 *
6.2, 品質目標及びそれを達成するための計画策定 *
6.2.1, 経営者は、品質マネジメントシステムの継続的改善を図るため、会社経営方針、品質方針等に基づき *品質目標を確立してください。 また、 品質目標及びその評価指標を定めて、事業計画書に含め、業務の実施計 *画として各部署へ展開してください。 品質目標は、 当社の期待に応え、 定められた期限内に達成されるように *管理してください。 *
6.2.2, 品質目標の達成計画について、以下を決定してください。 *実施事項に対する、必要な資源・責任者・完了時期・結果の評価方法 *
6.2.2.1, 品質目標及びそれを達成するための計画策定一-補足【IAIF】【全体】 *経営者は、品質目標を設定する際に当社要求事項を満たす目標をインプット情報とする。 *要求事項に関するレビューの結果は、年次の品質目標及び関係するパフォーマンス目標 (内部及び外部) を *確立する際に考慮する。 *
6.3, 変更の計画 *取引先企業が品質マネジメントシステムの変更を決定した場合、次の事項を考慮してください。 *(1) 変更の目的、それによって起こり得る結果 *(2) 品質マネジメントシステムの完全性 *(3) 資源の利用可能性 *(4) 責任及び権限の割り当てまたは再割り当て *
7., 支援 *
7.1, 資源 *
7.1.1, 一般 *取引先企業は、品質マネジメントシステムの実行及び改善ならびに顧客満足の達成に必要な経営資源につい *て、人的資源・インフラストラクチャー・作業環境を明確にし、提供する。 *
7.1.2, 人々 *製品要求事項に影響する業務に従事する要員については、 必要な力量を明確にし、 教育訓練された要員を確 *保し、配置してください。 *
7.1.3, インフラストラクチャー *製品の適合性を達成するためのインフラストラクチャーを明確にし、提供し維持管理してください。 *
7.1.3.1, 工場、施設及び設備の計画【IATF】【限定】 *取引先企業は新規設備導入の計画策定時、 部門横断的アプローチを用い、リスクの特定及び緩和を目的とし *て設備仕様DR及び引渡しDRを実施してください。 *設備レイアウトは、不良品の管理を含む、材料の流れ、材料の取り扱い、及び現場スペースを考慮し、最 *適化してください。 *また、該当する場合には必ず同期の取れた材料の流れを促進してください。 *当社が要求する新規品及び新運用に対する製造フィージビリティ (実現性) の評価は、8.2.3.1.3 項によ *ります。リスクに関する定期的再評価を含めて、工程承認中になされた変更、コントロールプランの維持、 *作業の段取り替え検証を取り入れるために、工程の有効性を維持してください。 *
7.1.4, プロセスの運用に関する環境 *プロセスの運用に必要な環境を明確にし、提供・維持してください。 *代表的な環境と管理項目例 *TP *外観栓査場所 *計測室ならびに校正室 *
7.1.4.1, プロセスの運用に関する環境-一補足 【IATF】【全体】 *製品及び製造工程のニーズに合わせて、事業所を整頓され清潔な状態に維持してください。 *また、清潔さを維持することで、以下の問題発生の未然防止等に役立てて下さい。 *(1) 製品、原材料の取り違え *(2) 異物/異品混入/外観異常 *(3) 条件の取り違え、設定ミス *(4) 設備の異常(停止、誤作動) *
7.1.5, 監視及び測定のための資源 *
7.1.5.1, 一般 *定め られた要求事項に対する製品の適合性を実証するために、 取引先企業は、 実施すべき監視及び測定を明 *確にして下さい。また、そのために必要な監視機器及び測定機器を明確にして下さい。 *監視及び測定の要求事項との整合性を確保できる方法で監視及び測定が実施できることを文書化した *プロセスとして保持して下さい。 *
7.1.5.1.1, 測定システム解析 (MSA) 【IATF】【全体】 *各種の測定機器及び試験装置システムの結果に存在するばらつきを解析するため、統計的調査を実施して下 *さい。この要求事項は、コントロールプランに引用されている測定システムに適用して下さい。 使用する解 *析方法及び合否判定基準は、 測定システム解析に関する以下基準に適合させて下さい。 当社が承認した場合 *は、他の解析方法及び合否判定基準を使用してもかまいません。 *計量値/ゲージR&R 判定基準 *%R&Rでの判定基準 *a. 10%未満 *合格 *b. 10%以上30%以下 *適用する特性の重要性、測定装置のコスト、工程能力指数等に基づいて許容される場合がある。 *c. 30%超 *不合格。 測定システムのあらゆる見直し・改善を行うこと。 *7.1.5.2 測定のトレーサビリティ *測定のトレーサビリティが要求事項となっている場合には、測定機器に関し、次の事項を満たして下さい。 *(1) 定められた間隔又は使用前に、国際又は国家計量基準にトレーサブルな計量標準に照らして校正若しく *は検証、又はその両方を行って下さい。 そのような標準が存在しない場合には、 校正又は検証に用いた基 *準を記録して下さい。 *(2) 機器の調整をして下さい。又は必要に応じて再調整をして下さい。 *(3) 校正の状態を明確にするために識別を行う。 *(4) 取扱い、保守及び保管において、測定した結果が無効になるような調整、損傷及び劣化から保護する。 *さらに、 測定機器が要求事項に適合していないことが判明した場合には、その測定機器でそれまでに *測定した結果の妥当性を評価し、記録して下さい。その機器、及び影響を受けた製品すべてに対して、 *適切な処置をとって下さい、。 *校正及び検証の結果の記録を維持して下さい。 *規定要求事項にかかわる監視及び測定にコンピュータソフトウェアを使う場合にはに、そのコンピュータソ *フトウェアによって意図した監視及び測定ができることを確認して下さい。この確認は、最初の使用に *先立って実施して下さい。また、必要に応じて再確認して下さい。 *
7.1.5.2.1, 校正検証の記録 *校正・検証の記録をマネジメントする文書化したプロセスを維持してください。 *内部要求事項、法令・規制要求事項、及び当社が定めた要求事項への適合の証拠を提供するために必要な、 *全てのゲージ、測定機器及び試験設備(測定に関連する貴社所有の機器、当社固有の機器、サイト内供給者 *所有の機器を含む) に対する校正/検証の記録を保持してください。 *記録には、次の事項を含める。 *(1) 測定システムに影響する、設計変更による改訂 *(2) 校正/検誕のために受け入れた状態で、仕様外れの値 *(3) 仕様外れ状態によって引き起こされる得る製品の意図した用途に対するリスクの評価 *(4) 検査測定及び試験設備が、計画した検証若しくは校正、又はその使用中に校正外れ又は故障が *発見された場合、この検査測定及び試験設備によって得られた以前の測定結果の妥当性に関する文書化し *た情報について、校正報告書に関連する標準機の最後の校正を行った日付及び次の校正が必要になる期限 *を含めて保持すること。 *(5) 疑わしい製品または材料が出荷された際の顧客への通知 *(6) 校正/検証後の使用への適合表明 *(7) 製品及び工程の管理に仕様される計測器のソフトウェアのバージョンが指示通りである事の検証 *(8)全てのゲージ (貴社所有の機器、当社固有の機器、サイト内供給者所有の機器を含む) に対する校正及び *全活動の記録 *(9) 製品及び工程の管理に使用される(貴社所有の機器、当社固有の機器、サイト内供給者所有の機器に *インストールされたソフトウェアを含む)、 生産に関係するソフトウェアの検証 *
7.1.5.3, 試験所要求事項 *
7.1.5.3.1, 内部試験所【IATF】【限定】 *取引先企業内の試験所施設は、 要求された検査、 試験叉は校正サービスを実施する能力を含んだ適用範囲を *定めて下さい。この試験所適用範囲は、 品質マネジメントシステム文書に含めて下さい。 試験所は、技術要 *求事項として最小限、次の事項を規定し、実施して下さい。 *(1) 試験所の手順の適切性 *(2) 試験所従業員の力量 *(3) 製品の試験 *(4) 該当するプロセス規格 (ASTM、ENなど) に合わせて、サービスを正確に実施する能力 *(5) 関連する記録のレビュー *
7.1.5.3.2, 外部試験所 【IATIF】【全体】 *取引先企業が検査、 試験又は校正サービスに使用する、外部の/商用の/独立の試験所の施設は、 要求された *検査、 試験又は校正サービスを実施する能力を含み、 試験所適用範囲が定められ、次の事項のいずれかを満 *たして下さい。                      「 *(1) 当社が認めた外部試験所。 *(2) ISO/IEC17025又はこれと同等の国内基準に認定された試験所。 *
7.1.6, 組織の知識 *プロセスの運用に必要な知識ならびに製品適合を達成するために必要な知識を明確にしてください。 *標準書、基準書、規格書、指示書、仕様書、業務要領書等に文書化し、維持してください *
7.2, 力量 *以下の事項を実施して下さい。 *(1) 品質マネジメントシステムのパフォーマンス及び有効性に影響を与える業務を行う人に必要な力量を *明確にする。 *(2) 適切な教育、訓練または経験に基づいて、それらの人々が力量を備えている事を確実にする。 *(3) 該当する場合には、必ず、必要な力量を身につけるための処置をとり、とった処置の有効性を評価する。 *(4) 力量の証拠として、適切な文書化した情報を保持する。 *
7.2.1, 力量-一補足【IAIF】【全体】 *製品及びプロセス要求事項への適合に影響する活動に従事する全ての要員の認識(7. 3. 1) *を含めて、教育訓練のニーズ及び達成すべき力量を明確にする文書化したプロセスを確立してください。 *必要に応じて、 当社要求事項を満たすことに考慮して、 特定の業務に従事する要因を適確性確認してください。 *合否判定を伴う該当工程の要員は検査員としての資格認定をしてください。 *
7.2.2, 力量一-業務を通じた教育訓練 (OJT) 【IATF】【全体】 *品質要求事項への適合、内部要来事項、規制又は法令要求事項に影響する、新規又は変更された *責任を負う要員に対して、業務を通じたO J T (当社要求事項の訓練を含めなければならない) を実行してく *ださい。 *(1) 契約または派遣の要員も対象とする。但し、派遺法等の法律が適用される場合はそちらを優先する。 *(2) 詳細な教育レベルは、要上員の業務内容に見合ったものとする。 *(3) O J Tには、顧客要求事項に対する不良の影響についての教育を含める。 *
7.2.3, 内部監査員の力量【IATF】【全体】 *当社要求事項を考慮に入れて、内部監査貞が力量を持つ事を検証する文書化したプロセスを維持して *ください。 *資格を持つ内部監査員のリストを維持してください。 *
7.2.3.1, 内部監査員の力量一-補足【IATF】【限定】 *(1) リスクに基づく考え方を含む、監査に対するプロセスアプローチの理解 *(2) 該当する当社要求事項の理解 *(3) 監査範囲に関係する、該当するISO9001及びIATF16949有要求事項の理解 *(4) 監査範囲に関係する、該当するコアツール要求事項の理解 *(5) 計画、実施、報告、監査所見及び完了の仕方の理解 *(6) 取引先企業が定める年間最低回数の監査の実施 *(7) 内部及び外部変化に基づく要求事項の知識の維持 *上記に加え、 製造工程監査員は、 監査対象となる製造工程の知識を取得している者、 製品監査員は製品の適 *合性を検証するために、 製品要求事項の理解、 並びに該当する測定及び試験設備の使用において、*力量を取得している者を指名し、実施する。 *
7.2.4, 第二者監査員の力量【IATF】【限定】 *7.2.3.1項に示した力量を有する要員を第二者監査貞として割り当ててください。 *7.2.3.1項の他に PFMEA 及びコントロールプランを含む製造工程に対する力量を含めてください。 *内部監査員の要員とは別に第二者監査員のリストを維持してください。 *
7.3,認 識 *取引先企業は管理下で働く人々が、次の事項に関して認識を持つことを確実にしてください。 *(1) 品質方針 *(2) 関連する品質目標 *(3) パフォーマンスの向上によって得られる便益を含む、品質マネジメントシステムの有効性に対する *自らの貢献 *(4) 品質マネジメントシステム要求事項に適合しないことの意味 *
7.3.1, 認識-補足【IATF】【全体】 *顧客の不適合製品に関わる顧客要求事項及びそのリスクを含む、製品品質に及ぼす *影響、並びに目標を達成し、維持し、及び改善するために行う活動の重要性を認識させるために、 *業務実施計画書を用いて、次の事項を従業員全員に教育し、記録を残す。 *(1) 品質目標が未達の場合、その業務が製品品質に与える影響 *(2) 業務実施計画の重要性 *
7.3.2, 従業員の動機付け及びエンパワーメント【IATF】【限定】   *取引先企業は、 品質目標を達成し、 継続的改善を行い、 革新を推し進める環境を創造するために、 従業員を *動機付けするプロセスをもって下さい。 そのプロセスは、 組織全体にわたって品質及び技術に対する意識の *向上を含んだものにして下さい。例) 社内表彰等 *目組織の従業員が、自らの活動のもつ意味と重要性を認識し、 品質目標の達成に向けて自らどのように貢献 *できるかをどの程度認識しているかを測定するプロセスをもって下さい。 *
7.4, コミュニケーション *品質マネジメントシステムに関連する内部及び外部のコミュニケーションについて以下の内容 *を決定してください。 *(1) 内容 *(2) 実施時期 *(3) 対象者 *(4) 方法 *(5) 行う人 *
7.5, 文書化 *
7.5.1, 一般 *取引先企業は文書化について次の事項を含めて下さい。 *(1)本ガイドラインが要求する文書化した情報 *(2) 品質マネジメントシステムの有効性のために必要であると取引先企業が決定した *文書化した情報 *
7.5.1.1, 品質マネジメントシステムの文書類 【IATF】【全体】 *品質マネジメントシステムは、文書化し、品質マニュアルに含めてください。 *最低限、以下の事項を含めてください。 *(1) 品質マネジメントシステムの適用範囲、除外ありの場合、詳細及び除外を正当とする理由 *(2) 品質マネジメントシステムについて確立された、文書化したプロセス *(3) アウトソースしたプロセスの管理の方式および程度を含む、組織のプロセス並びにそれらの *順序及び交互作用 *(4) 品質マネジメントシステムの中で、当社固有要求事項に取り組んでいるかを示す文書 *
7.5.2, 作成および更新 7.5.3 文書化した情報の管理 *文書管理に関して、以下の内容を満足する文書を作成して、運用して下さい。 *(1) 文書の発行、承認、更新、管理方法について、ルールを規定して下さい。また、文書を発行する場合、 *発行者、及び内容を確認し承認する承認者をその文書に明記して下さい。 *(2) 文書の内容が有効かどうか定期的及び必要に応じて適宜見直しを実施して下さい。 *また、必要に応じて内容を更新し、再承認して下さい。 *(3) 「文書の更新」及び「現在使用することができる有効な文書」の識別について、文書番号、 *改定番号付与等のルールを規定して下さい。 *(4) 有効且つ必要な文書が、必要な場所で使用できるようにルールを規定して下さい。 *(5) 文書は読み易く容易に識別できるようにルールを規定して下さい。 *(6) 当社及びその他外部から配付された文書をリスト化する等の方法で明確にし、外部文書に関する *管理ルールを規定して下さい。 *  *当社から配付する文書例 *本品質ガイドライン、取引基本契約書、品質保証協定書、購買規格書、購買仕様書、部品 *図、グリーン調達ガイドライン、その他の外部文書 *当社が配付した文書及び/又はその内容を、供給者・アウトソーシング業者等の外部へ配付する必要がある の *場合は、必ず、事前に当社へ連絡し承認を受けて下さい。また、自組織の文書管理ルールに従って、 *確実に管理を実施して下さい。 *(7) 廃止文書が誤って使用されないようにルールを規定して下さい。また、何らかの目的で、 *廃止文書を保管する場合には、確実に識別して下さい。 *
7.5.3.1, 記録の保管 【IATF】【全体】 *取引先企業は記録保管方針を定め、文書化してください。 *法令・規制要求事項及び当社からの要求に従って記録保管して下さい。 *以下に当社が要求する記録及びその保管期間を示します。 ただし、 すべての記録を具体的名称で記述するの *困難ですので、概要となっています。 当社から個別に要求がある場合は、それに従って下さい。 *また、内容が不明な場合は、必ず当社へ確認して下さい。 *当社が要求する記録及びその保管期間 (当社指定品目は 15 年または都度指示 それ以外は5年とする) *・ 製造履歴 (移動票等) *・変化点管理 (工程変更) *・条件記録 (点検表等) *・ 出荷検査記録 *・ 計測器・試験設備の校正・ 管理記録 *・ 是正処置記録 *・ 製品設計及び工程設計の記録 *
7.5.3.2, 技術仕様書【IATF】【全体】 *当社から配付している技術規格/仕様書類の変更があった場合、当社の要求事項に従って、速やかに内容を *レビューし、 実施する文書化したプロセスを維持してください。 *レビューは変更を受領してから、10 稼働日内に完了することが望ましい。 *また、変更後の内容で生産を開始した日付を記録して下さい。 *
8., 運用 *
8.1, 運用の計画及び管理 *製品の提供に関する要求事項を満たすために、次の手順に従い運用の計画策定及び管理を実施して下さい。 *(1) 製品及びサービスに関する要求事項の明確化 *(2) 製品及びサービスに関する合否判定基準の設定とプロセス管理の実施 *(3) 製品及びサービスの要求事項への適合を達成するために必要な資源の明確化 *(4) 製品及びサービスの要求事項への適合を実証するための文書化した情報 (品質記録)の明確化 *
8.1.1, 運用の計画及び管理補足 【IATF】【全体】 *製品実現の計画をする際は、次の事項を含めてください。 *(1) 当社の要求事項及び技術仕様書 *(2) 物流要求事項 (包装仕様) *(3) 製造フィージビリティ *(4) プロジェクト計画(8. 3. 2項参照) *(5) 合否判定基準 *納入仕様書の提出 *取引先企業は、当社への納入品に対して、 新規取引・変更発生時に、納入品質内容を明記した納入仕様書を *提出して下さい。当社で審議・承認後、購買仕様書として返却します。 *仕様書記載必要項目(付表一2 TC05-A02/01-2) を参照のうえ、作成下さい。 *
8.1.2, 機密保持【IATF】【全体】 *取引先企業は、当社から提供した製品 (開発中プロジェクト含む) 及びその関連情報を扱う場合、 *機密保持を確実に行なえるように、情報管理体制を確立させ運用して下さい。 *
8.2, 製品及びサービスに関する要求事項 *
8.2.1, 顧客とのコミュニケーション *取引先企業は、 次の事項に関して当社とのコミュニケーションを図るための効果的な方法を明確にし、 実施 *して下さい。 *(1) 製品情報 *(2) 引合い、契約若しくは注文、又はそれらの変更 *(3) 苦情を含む当社からのフィードバック *(4) 顧客の所有物の取り扱いまたは管理 *(5) 関連する場合には、不測の事態への対応に関する特定の要求事項の確立 *
8.2.1.1, 願客とのコミュニケーション一補足【IATF】【全体】_ *記述又は口頭のコミュニケーションは、当社と合意された言語とする。当社に規定されたコンピューター *言語及び書式(CADデータ 、電子データ交換等) を含めて、必要な情報をやりとりしてください。 *
8.2.2, 製品及びサービスに関する要求事項の明確化 *取引先企業は、次の事項を明確にして下さい。 *(1) 当社が規定 した要求事項。これには引渡し及び引渡し後の活動に関する要求事項を含む。 *「取引基本契約書」、「品質保証協定書」、「グリーン調達ガイドライン」 及び「取引先様のための品質ガイド *ライン」 *(2) 製品に適用される法令・規制要求事項。 *(3) 取引企業が必要と判断する追加要求事項。 *
8.2.2.1, 製品及びサービスに関係する要求事項の明確化一補足 【IATF】【限定】 *8.2.2 に加えて、材料の入手、保管取扱い、リサイクル、除去、又は廃棄に関係する、全ての該当す *る政府の安全規制、及び環境側面の情報を当社より入手する。 *
8.2.3, 製品及びサービスに関する要求事項のレビュー *
8.2.3.1, *取引先企業は、製品及びサービスに関連する要求事項をレビューして下さい。このレビューは、取引先企業 *が当社に製品を提供することに対するコミットメント (例 提案書の提出、契約又は注文の受諾、契約又は *注文への変更の受諾) をする前に実施して下さい。レビューでは次の事項を確実にして下さい。 *(1) 当社が規定 した要求事項、これには引き渡し、引き渡し後の活動に関する要求事項を含む。 *(2) 当社が明示してはいないが、指定された用途または意図された用途が既知である場合、それらの用途に *応じた要求事項 *(3) 貴社が、規定 した要求事項 *(4) 適用される法令・規制要求事項 *(5) 以前に提示されたものと異なる、契約または注文の要求事項 *このレビューの結果の記録、及びそのレビューを受けてとられた処置の記録を維持して下さい。 *当社がその要求事項を書面で示さない場合には、取引先企業は当社要求事項を受庄する前に確認して下さい。 *製品要求事項が変更された場合には、 関連する文書を修正して下さい。 また、変更後の要求事項が、関連す *る従業員に理解されることを確実にして下さい。 *
8.2.3.1.1, 製品及びサービスに関する要求事項のレビュー一補足 【IATF】【全体】 *
8.2.3.1, で要求された正式なレビューを実施しない場合は当社の許可を取り、文書化した証拠を保持して *ください。 *
8.2.3.1.2, 当社指定の特殊特性 【IATF】【全体】 *取引先企業は、当社からの特殊特性の指定がある場合、文書化及び管理に対する当社要求事項への *適合を実証して下さい。 *当社では特殊特性について特別管理特性と呼び、図面等に特別管理記号を記載指示します。 *「特別管理特性一覧」 (付表一3 TC12-A03/3) *特別管理特性に対する要求事項 *特別管理特性                    一般特性 *計量値      Cpk竹1. 67     Cpk竹1. 33 *計数値     P-barく0. 39%   P-barく1. 096 *
8.2.3.1.3, 組織の製造フィージビリティ【IATIF】【限定】 *取引先企業は、 契約内容の確認プロセスにおいて、リスク分析を含めて、 提案製品の製造フィージビリティ *(製造実現性の事前評価) を部門横断的アプローチを利用して調査し、 確認して下さい。 *
8.2.3.2, 取引先企業は、製品およびサービスに関する要求事項のレビューに関する記録を保持してください。 *
